55
740684;097110615,5000.0,1.25;037431195,10000.0,2.5
790767;407006776,5000000.0,1.25;933250239,1.0E7,2.5
968704;171177210,100100.0,1.25;164209305,25000.0,2.5
940486;623969282,6.5145968E7,1.25;889094973,1.0E7,2.5
982959;908154494,1.5E7,1.25;027221339,13000.0,2.5
583715;871869956,25000.0,1.25;690564189,16000.0,2.5
660023;799085693,12000.0,1.25;021457689,15600.0,2.5
684373;407760930,50000.0,1.25;856059645,19000.0,2.5
597722;218026120,5000.0,1.25;380311203,15000.0,2.5
912005;810935515,1.5E7,1.25;793728994,250000.0,2.5
648337;618614224,100000.0,1.25;284389364,145000.0,2.5
384877;427276798,2.5E7,1.25;277389254,145698.0,2.5
480719;134689571,1.6E7,1.25;423391693,100000.0,2.5
472965;109391546,100000.0,1.25;408606590,250000.0,2.5
699575;948606764,3500.0,1.25;250209762,25000.0,2.5
505760;617807165,5000.0,1.25;923159103,10000.0,2.5
692915;648522536,6000.0,1.25;138172032,10000.0,2.5
728598;825914822,100.0,1.25;980882602,50.0,2.5
619949;514034330,15000.0,1.25;145133069,20000.0,2.5
341171;200199615,10000.0,1.25;042467015,15000.0,2.5
360422;200510366,15000.0,1.25;892792550,50000.0,2.5
809053;069430880,15607.0,1.25;459816339,15670.08,2.5
691720;543528405,145079.0,1.25;617343785,157134.0,2.5
606469;896768142,160000.0,1.25;354081852,50000.0,2.5
963295;369379835,13568.0,1.25;737064328,10000.0,2.5
408861;186424502,30000.0,1.25;324116781,25000.0,2.5
054052;113805471,13000.0,1.25;290887956,15000.0,2.5
883001;278915576,10000.0,1.25;621522135,17000.0,2.5
513133;027476117,15000.0,1.25;304661700,569291.0,2.5
379060;794197013,12000.0,1.25;888201531,100000.0,2.5
051796;597138327,50000.0,1.25;617675486,10000.0,2.5
608658;227717287,5000.0,1.25;550914707,5000.0,2.5
852328;351898730,16000.0,1.25;117921312,16000.0,2.5
207715;696343942,20000.0,1.25;256036171,50000.0,2.5
420948;995997339,15000.0,1.25;917956096,20125.0,2.5
829456;915647088,15000.0,1.25;748880203,15687.0,2.5
801885;245206402,15893.0,1.25;646065327,100000.0,2.5
956126;177655593,12395.0,1.25;296546598,19583.0,2.5
776963;989812134,10000.0,1.25;094248104,10000.0,2.5
645212;023388698,10000.0,1.25;480015414,10000.0,2.5
729712;027671979,10000.0,1.25;307463265,10000.0,2.5
944081;857213943,10000.0,1.25;528180678,10000.0,2.5
351385;507399790,10000.0,1.25;355126033,10000.0,2.5
189385;046428122,10000.0,1.25;308647569,10000.0,2.5
322441;993811323,10000.0,1.25;670732401,10000.0,2.5
773976;649709566,10000.0,1.25;168522006,10000.0,2.5
875147;401686487,10000.0,1.25;817705661,10000.0,2.5
928324;083621780,10000.0,1.25;832815039,10000.0,2.5
949524;037468329,10000.0,1.25;419038509,10000.0,2.5
521810;996142065,15200.0,1.25;391786278,25019.0,2.5
762212;821898096,10000.0,1.25;956695848,10000.0,2.5
494551;130034657,10000.0,1.25;990634927,10000.0,2.5
458916;387047397,10000.0,1.25;301808693,10000.0,2.5
035436;618101860,10000.0,1.25;072895001,10000.0,2.5
908844;991639784,1.99999E7,1.25;871613935,1.0E7,2.5

